id,text,scenario,confidence,source_film,start_timestamp,end_timestamp,context_before,context_after,catalan_markers,has_catalan_slang,has_spanish_slang,has_any_slang,catalan_slang_count,spanish_slang_count,total_slang_count,catalan_slang_found,spanish_slang_found
Spanish Affair_2014_976542_471,"¿Qué pasa, Koldo? ¿Cómo estás? ¡Aúpa ahí!",greetings,1.0,Spanish Affair,"00:32:14,017","00:32:17,103","Hoy vas a ver que con Antxón, todo genial. | ""Epa"".","¡Aúpa! Igual hoy te venía fatal quedar. | No, de jugar a pelota vengo, hostia.",,True,True,True,1,3,4,"{""swears_edgy"": [""hostia""]}","{""cool_reactions"": [""genial""], ""money_work"": [""quedar""], ""swears_expressions"": [""hostia""]}"
Spanish Affair_2014_976394_471,"¿Qué pasa, Koldo? ¿Cómo estás? ¡Aúpa ahí!",greetings,1.0,Spanish Affair,"00:32:10,762","00:32:13,800","Hoy vas a ver que con Antxón, todo genial. | ""Epa"".","¡Aúpa! Igual hoy te venía fatal quedar. | No, de jugar a pelota vengo, hostia.",,True,True,True,1,3,4,"{""swears_edgy"": [""hostia""]}","{""cool_reactions"": [""genial""], ""money_work"": [""quedar""], ""swears_expressions"": [""hostia""]}"
Spanish Affair_2014_976394_430,"¡Que cómo os conocisteis, hostia!",greetings,0.8,Spanish Affair,"00:29:58,255","00:29:59,962","Bueno, pues dices ""hostia"" en vez ""mi arma"", | porque si mi padre te escucha.","Nos presentaron unas amigas de su pueblo. | Eso es muy soso. Eso no tiene chicha ni ""ná"".",,True,True,True,2,2,4,"{""swears_edgy"": [""hostia"", ""hostia""]}","{""swears_expressions"": [""hostia"", ""hostia""]}"
Evil Dead II_1987_418393_137,"Espero que t'hi podreixis, aquí avall.",farewells,0.6050031852722169,Evil Dead II,"00:38:43,531","00:38:45,450","M'he equivocat. | Ja ho pots ben dir, xantatgista fill de puta.","Hòstia! | Ja sé que fa mal, nena, però tot sortirà bé.",,True,True,True,3,1,4,"{""address_terms"": [""nena""], ""swears_edgy"": [""H\u00f2stia"", ""fill de puta""]}","{""swears_expressions"": [""puta""]}"
Barcelona Summer Night_2013_6579113_570,¿Nos vamos a pelear por una tía en serio?,plans,0.8,Barcelona Summer Night,"00:26:49,280","00:26:51,380","Qué pavo. | Va, tío, ¿qué estamos haciendo?","Mira, ¿sabes una cosa? | Éntrale tú que yo paso. No, no, no, ninguno de los dos.",,False,True,True,0,4,4,{},"{""common_expressions"": [""en serio""], ""address_terms"": [""t\u00edo"", ""t\u00eda"", ""pavo""]}"
Barcelona Summer Night_2013_6579113_172,Es la fiesta de su hermana.,family,0.6508510971069336,Barcelona Summer Night,"00:07:51,960","00:07:53,310",No iré. | No me han invitado.,"Nadie te invitará. | Hostia, qué casa que tienes, Joan, cabrón.",,True,True,True,1,3,4,"{""swears_edgy"": [""Hostia""]}","{""party_social"": [""fiesta""], ""swears_expressions"": [""Hostia"", ""cabr\u00f3n""]}"
Spanish Affair_2014_977086_446,"¿Qué pasa, Koldo? ¿Cómo estás? ¡Aúpa ahí!",greetings,1.0,Spanish Affair,"00:32:10,762","00:32:13,800","Hoy vas a ver que con Antxón, todo genial. | ""Epa"".","¡Aúpa! Igual hoy te venía fatal quedar. | No, de jugar a pelota vengo, hostia.",,True,True,True,1,3,4,"{""swears_edgy"": [""hostia""]}","{""cool_reactions"": [""genial""], ""money_work"": [""quedar""], ""swears_expressions"": [""hostia""]}"
Barcelona Summer Night_2013_6579113_422,"¡Hostia, Marta!",greetings,0.6642912101745606,Barcelona Summer Night,"00:19:15,400","00:19:15,790","Hostia, como sea tan alta como la última | igual está debajo de la mesa.","Perdona, ¿eh? | Pero bueno, que no has contestao a la pregunta.",,True,True,True,2,2,4,"{""swears_edgy"": [""Hostia"", ""Hostia""]}","{""swears_expressions"": [""Hostia"", ""Hostia""]}"
Barcelona Summer Night_2013_6579113_420,"Hostia, como sea tan alta como la última",farewells,0.6113667678833008,Barcelona Summer Night,"00:19:11,160","00:19:13,210","Todo bien. | ¿Y así qué, Joan, alguna mujer en tu vida?","igual está debajo de la mesa. | ¡Hostia, Marta!",,True,True,True,2,2,4,"{""swears_edgy"": [""Hostia"", ""Hostia""]}","{""swears_expressions"": [""Hostia"", ""Hostia""]}"
Barcelona Summer Night_2013_6579113_475,"Anda, toma. Una miqueta. ¿Uh?",farewells,0.7848921966552735,Barcelona Summer Night,"00:21:26,120","00:21:27,570","¿Cómo que va ficatel? | Hostia, Carles, ¿en serio?","Importante, leo aquí. | La línea de control siempre debe aparecer.",,True,True,True,1,3,4,"{""swears_edgy"": [""Hostia""]}","{""common_expressions"": [""en serio"", ""que va""], ""swears_expressions"": [""Hostia""]}"
Spanish Movie_2009_126174_455,¿Qué hay de cenar?,plans,0.7964334630966187,Spanish Movie,"00:27:46,800","00:27:48,560","¡Antonio! | Es Ofendia, la hija de la señora.","Ya vale, ¿no, Antonio? | ¿Eh? Ya vale, ¿no? ¡Ya vale!",,False,True,True,0,3,3,{},"{""common_expressions"": [""vale"", ""vale"", ""vale""]}"
The Spanish Apartment_2002_4389688_372,Vale. Hasta luego.,farewells,1.0,The Spanish Apartment,"01:38:27,480","01:38:29,200","Vale, de acuerdo? Vale. | Si, si. perdona.",Y Que ibas a decirme de tu novia.? | Lo sabes?,,False,True,True,0,3,3,{},"{""common_expressions"": [""Vale"", ""Vale"", ""Vale""]}"
The Spanish Apartment_2002_4389688_371,"Si, si. perdona.",apologies,1.0,The Spanish Apartment,"01:38:22,560","01:38:25,720","Ningun problema. | Vale, de acuerdo? Vale.",Vale. Hasta luego. | Y Que ibas a decirme de tu novia.?,,False,True,True,0,3,3,{},"{""common_expressions"": [""Vale"", ""Vale"", ""Vale""]}"
The Spanish Apartment_2002_4389688_370,"Vale, de acuerdo? Vale.",greetings,0.6736456108093263,The Spanish Apartment,"01:38:18,080","01:38:20,360","Lo siento, William. | Ningun problema.","Si, si. perdona. | Vale. Hasta luego.",,False,True,True,0,3,3,{},"{""common_expressions"": [""Vale"", ""Vale"", ""Vale""]}"
The Spanish Earth_1937_600050_50,"sigue,quieres que te rompa la cabeza?",plans,0.8,The Spanish Earth,"00:06:12,831","00:06:13,832","yo me rei y le dije, | tienes una cara de culo, pero solo un lado del culo, ha ha",esta bien! | solo lo llame un lado del culo,,False,True,True,0,3,3,{},"{""other_common"": [""culo"", ""culo"", ""culo""]}"
Catalunya uber alles_2011_6234917_116,"No está haciendo daño a nadie. ¡Lárgate, hijo de puta!",family,0.8,Catalunya uber alles,"00:25:03,447","00:25:07,156","¿Qué pasa, puta? Mira lo que tengo para ti. | ¡Ya está bien! ¡Dejadnos en paz!",¡Dejadlo en paz! | ¿Cómo puedes ir con este tío?,,False,True,True,0,3,3,{},"{""address_terms"": [""t\u00edo""], ""swears_expressions"": [""puta"", ""puta""]}"
Catalunya uber alles_2011_6234917_165,¡Hijo de puta!,family,0.8,Catalunya uber alles,"00:33:52,567","00:33:53,522","¡Para, por favor! | ¡A por él! ¡Cabrón!",¡El violador! | ¡Cabrón!,,False,True,True,0,3,3,{},"{""swears_expressions"": [""puta"", ""Cabr\u00f3n"", ""Cabr\u00f3n""]}"
Encanto_2021_6228204_244,Porque tengo una familia increíble,family,0.7768803024291991,Encanto,"00:14:06,555","00:14:09,349",¿Sabes qué? | No tienes que preocuparte por mí.,y una casa increíble. | Y un tú increíble.,,False,True,True,0,3,3,{},"{""cool_reactions"": [""incre\u00edble"", ""incre\u00edble"", ""incre\u00edble""]}"
The Spanish Apartment_2002_4389755_782,Te lo dije. ¡Todas unas guarras!,farewells,0.6261271667480469,The Spanish Apartment,"01:06:09,581","01:06:11,701","Y luego, era: ""¡Sí, oh, sí, sí!"" | Increíble, nunca lo hubiera imaginado.","¡Tienes razón, es increíble! Es algo. | La próxima vez, la cojo por el pelo y digo: ""Chupa, puta"".",,False,True,True,0,3,3,{},"{""cool_reactions"": [""Incre\u00edble"", ""incre\u00edble""], ""swears_expressions"": [""puta""]}"
Encanto_2021_6228204_245,y una casa increíble.,family,0.8,Encanto,"00:14:09,516","00:14:11,894",No tienes que preocuparte por mí. | Porque tengo una familia increíble,Y un tú increíble. | Verte recibir tu don y tu puerta,,False,True,True,0,3,3,{},"{""cool_reactions"": [""incre\u00edble"", ""incre\u00edble"", ""incre\u00edble""]}"
Encanto_2021_6228204_246,Y un tú increíble.,farewells,0.6262534332275391,Encanto,"00:14:13,020","00:14:14,646",Porque tengo una familia increíble | y una casa increíble.,Verte recibir tu don y tu puerta | me hará más feliz que nada.,,False,True,True,0,3,3,{},"{""cool_reactions"": [""incre\u00edble"", ""incre\u00edble"", ""incre\u00edble""]}"
Encanto_2021_6228204_268,"¡Vale, lo dejo!",farewells,0.6263877105712892,Encanto,"00:16:50,719","00:16:51,929",Vale. | Vale.,"Hace cincuenta años, | en nuestro momento más oscuro,",,False,True,True,0,3,3,{},"{""common_expressions"": [""Vale"", ""Vale"", ""Vale""]}"
The Spanish Earth_1937_600050_51,esta bien!,farewells,0.7241412353515626,The Spanish Earth,"00:06:13,832","00:06:18,003","tienes una cara de culo, pero solo un lado del culo, ha ha | sigue,quieres que te rompa la cabeza?","solo lo llame un lado del culo | el come justo como vos con el ruido, una gallina de verdad",,False,True,True,0,3,3,{},"{""other_common"": [""culo"", ""culo"", ""culo""]}"
The Spanish Apartment_2002_4388735_380,Vale. Hasta luego.,farewells,1.0,The Spanish Apartment,"01:38:26,767","01:38:28,485","¿Vale, de acuerdo? Vale. | Sí, sí. perdona.",¿ Y qué ibas a decirme de tu novia.? | ¿Lo sabes?,,False,True,True,0,3,3,{},"{""common_expressions"": [""Vale"", ""Vale"", ""Vale""]}"
The Spanish Apartment_2002_4388735_379,"Sí, sí. perdona.",apologies,1.0,The Spanish Apartment,"01:38:21,847","01:38:24,998","Ningún problema. | ¿Vale, de acuerdo? Vale.",Vale. Hasta luego. | ¿ Y qué ibas a decirme de tu novia.?,,False,True,True,0,3,3,{},"{""common_expressions"": [""Vale"", ""Vale"", ""Vale""]}"
The Spanish Apartment_2002_4388735_378,"¿Vale, de acuerdo? Vale.",greetings,0.6869118881225587,The Spanish Apartment,"01:38:17,367","01:38:19,642","Lo siento, William. | Ningún problema.","Sí, sí. perdona. | Vale. Hasta luego.",,False,True,True,0,3,3,{},"{""common_expressions"": [""Vale"", ""Vale"", ""Vale""]}"
Tres dies amb la família_2009_91467_319,Fuimos a un bar que no te puedes perder.,requests,0.8,Tres dies amb la família,"00:36:03,247","00:36:05,397","¿Te acuerdas de Léa, no? Sí, un poco sí. | ¿Qué tal París? Hostia, ¿sabes que fui con Carla?","""Les contables"". La polla, increíble. | No, yo estoy en Toulouse.",,True,True,True,1,2,3,"{""swears_edgy"": [""Hostia""]}","{""cool_reactions"": [""incre\u00edble""], ""swears_expressions"": [""Hostia""]}"
Tres dies amb la família_2009_91467_318,"¿Qué tal París? Hostia, ¿sabes que fui con Carla?",greetings,0.7970120334625245,Tres dies amb la família,"00:36:00,167","00:36:03,079","Un momento por favor. | ¿Te acuerdas de Léa, no? Sí, un poco sí.","Fuimos a un bar que no te puedes perder. | ""Les contables"". La polla, increíble.",,True,True,True,1,2,3,"{""swears_edgy"": [""Hostia""]}","{""cool_reactions"": [""incre\u00edble""], ""swears_expressions"": [""Hostia""]}"
The Spanish Apartment_2002_7785118_356,Me da pena que te vayas.,apologies,0.7547305297851563,The Spanish Apartment,"00:31:06,223","00:31:07,611","Ay, genial. | Genial para ti. Sí, genial para mí.","Quiero escribir libros. | Hola, Wendy. ¡Hola!",,False,True,True,0,3,3,{},"{""cool_reactions"": [""genial"", ""Genial"", ""genial""]}"
Spanish Affair_2014_977086_354,"Que va a venir la ama, ¿no? Pues lo entiendo, bien hecho.",farewells,0.6101521682739258,Spanish Affair,"00:27:30,691","00:27:33,399","No, bien. Nada, nada. | ¿Nade de qué?",Si yo tampoco quiero mezclar. | Es que va a ser un lío.,,False,True,True,0,3,3,{},"{""common_expressions"": [""Que va"", ""que va""], ""other_common"": [""l\u00edo""]}"
Let Him Go_2020_8386664_941,Así que tienes familia en el pueblo.,family,0.8379818105697632,Let Him Go,"01:26:42,785","01:26:44,829","¿Quién te lo dijo? | Mi tío, en Gladstone.",Un tío. Y una tía. | Venden las pieles por mí. Y otras cosas.,,False,True,True,0,3,3,{},"{""address_terms"": [""t\u00edo"", ""t\u00edo"", ""t\u00eda""]}"
The Spanish Apartment_2002_4389034_782,Te lo dije. ¡Todas unas guarras!,farewells,0.6261271667480469,The Spanish Apartment,"01:06:09,000","01:06:11,120","Y luego, era: ""¡Sí, oh, sí, sí!"" | Increíble, nunca lo hubiera imaginado.","¡Tienes razón, es increíble! Es algo. | La próxima vez, la cojo por el pelo y digo: ""Chupa, puta"".",,False,True,True,0,3,3,{},"{""cool_reactions"": [""Incre\u00edble"", ""incre\u00edble""], ""swears_expressions"": [""puta""]}"
Spanish Movie_2009_126174_292,Me tienes que ayudar o me echan.,requests,0.603444881439209,Spanish Movie,"00:18:01,000","00:18:03,480","¡La mía, joder! ¡Antonio, aquí! | Cariño, que me he metido en un lío.","Llama al José: si quiere 50 euros, que se venga para esta casa. | Vale.",,False,True,True,0,3,3,{},"{""common_expressions"": [""Vale""], ""swears_expressions"": [""joder""], ""other_common"": [""l\u00edo""]}"
Three Many Weddings_2013_965804_149,¡Hijo de puta! ¡Dale! ¡Míralo!,family,0.8,Three Many Weddings,"00:09:38,328","00:09:41,665","¡A mi hija no la trates así, cabrón! | Qué no. Visualiza que es él.",¿Unas cañas para celebrar que no me has despedido? | Vale.,,False,True,True,0,3,3,{},"{""common_expressions"": [""Vale""], ""swears_expressions"": [""puta"", ""cabr\u00f3n""]}"
Barcelona Summer Night_2013_6579113_176,Gracias. Encima que os invito.,farewells,0.7218794059753418,Barcelona Summer Night,"00:08:00,600","00:08:02,100","Hostia, qué casa que tienes, Joan, cabrón. | Huele un poco a cerrado eso sí.",¿Qué? ¿Preparados para ver el cometa? | Y tanto.,,True,True,True,1,2,3,"{""swears_edgy"": [""Hostia""]}","{""swears_expressions"": [""Hostia"", ""cabr\u00f3n""]}"
The Spanish Apartment_2002_4389034_1149,"¿Vale, de acuerdo? Vale.",greetings,0.6869118881225587,The Spanish Apartment,"01:38:33,080","01:38:35,360","Lo siento, William. | Ningún problema.","Sí, sí. perdona. | Vale. Hasta luego.",,False,True,True,0,3,3,{},"{""common_expressions"": [""Vale"", ""Vale"", ""Vale""]}"
Barcelona Summer Night_2013_6579113_430,"Va, ya voy yo. ¿Vas tú?",farewells,0.6804107856750489,Barcelona Summer Night,"00:19:35,400","00:19:36,650","Hostia, está fuerte con el chaval.","La policía. | Tranquilos, llevo el DNI.",,True,True,True,1,2,3,"{""swears_edgy"": [""Hostia""]}","{""address_terms"": [""chaval""], ""swears_expressions"": [""Hostia""]}"
Spanish Movie_2009_126174_457,"¿Eh? Ya vale, ¿no? ¡Ya vale!",greetings,0.6877181243896485,Spanish Movie,"00:27:50,760","00:27:53,320","¿Qué hay de cenar? | Ya vale, ¿no, Antonio?","Te he engañado, mi marido es un vago. | Se pasa el día en el sofá.",,False,True,True,0,3,3,{},"{""common_expressions"": [""vale"", ""vale"", ""vale""]}"
The Spanish Apartment_2002_4389034_1150,"Sí, sí. perdona.",apologies,1.0,The Spanish Apartment,"01:38:37,560","01:38:40,720","Ningún problema. | ¿Vale, de acuerdo? Vale.",Vale. Hasta luego. | ¿Y qué ibas a decirme de tu novia.?,,False,True,True,0,3,3,{},"{""common_expressions"": [""Vale"", ""Vale"", ""Vale""]}"
Barcelona Summer Night_2013_6579113_567,"Serás cabrón. Venga va, hombre. No me jodas.",farewells,0.651847095489502,Barcelona Summer Night,"00:26:39,400","00:26:41,340","Y está muy bien que hayas tomado esa decisión, te honra. | Qué más te da un mes arriba que un mes abajo.","Qué pavo. | Va, tío, ¿qué estamos haciendo?",,False,True,True,0,3,3,{},"{""address_terms"": [""t\u00edo"", ""pavo""], ""swears_expressions"": [""cabr\u00f3n""]}"
The Spanish Apartment_2002_4388749_378,¡Bien! ¡Sí!,greetings,0.6876094055175782,The Spanish Apartment,"00:29:00,733","00:29:02,413","¡Genial! Ya tengo piso. ¡Anda, qué bien! | Sí, entonces, vale.","Yo tengo un cuarto de mierda donde trabajo. | ¿Qué haces? Estoy de au pair, cuido niños.",,False,True,True,0,3,3,{},"{""common_expressions"": [""vale""], ""cool_reactions"": [""Genial""], ""swears_expressions"": [""mierda""]}"
Barcelona Summer Night_2013_6579113_471,"Venga, hasta ahora.",farewells,0.8,Barcelona Summer Night,"00:21:01,520","00:21:02,470","Yo voy subiendo, ¿vale? | Coge las llaves, por favor. Vale.","Va, fica. | ¿Cómo que va ficatel?",,False,True,True,0,3,3,{},"{""common_expressions"": [""vale"", ""Vale"", ""que va""]}"
Barcelona Summer Night_2013_6579113_142,Y ¡pum! Ya está.,farewells,0.636273593902588,Barcelona Summer Night,"00:06:35,720","00:06:36,520","Adri, te he dicho mil veces que le des con más gracia. | Mano abierta.","Vale, vale, vale. | Ahora sí que la has jodío.",,False,True,True,0,3,3,{},"{""common_expressions"": [""Vale"", ""vale"", ""vale""]}"
Three Many Weddings_2013_965804_833,"Perdona que me ilusione. No, si te entiendo.",apologies,0.8856878662109374,Three Many Weddings,"00:54:54,917","00:54:58,087",La mayor parte del tiempo ellos son el problema. | ¿Y qué hago? ¿Pienso que va a ser un capullo?,El capullo me invita al cine. | Pues a disfrutar.,,False,True,True,0,3,3,{},"{""common_expressions"": [""que va""], ""swears_expressions"": [""capullo"", ""capullo""]}"
Three Many Weddings_2013_965804_832,¿Y qué hago? ¿Pienso que va a ser un capullo?,opinions,0.8,Three Many Weddings,"00:54:52,039","00:54:54,667",Me preocupa tu felicidad. Los hombres no son la solución. | La mayor parte del tiempo ellos son el problema.,"Perdona que me ilusione. No, si te entiendo. | El capullo me invita al cine.",,False,True,True,0,3,3,{},"{""common_expressions"": [""que va""], ""swears_expressions"": [""capullo"", ""capullo""]}"
The Spanish Apartment_2002_4389034_378,¡Bien! ¡Sí!,greetings,0.6876094055175782,The Spanish Apartment,"00:29:18,560","00:29:20,240","¡Genial! Ya tengo piso. ¡Anda, qué bien! | Sí, entonces, vale.","Yo tengo un cuarto de mierda donde trabajo. | ¿Qué haces? Estoy de au pair, cuido niños.",,False,True,True,0,3,3,{},"{""common_expressions"": [""vale""], ""cool_reactions"": [""Genial""], ""swears_expressions"": [""mierda""]}"
Spanish Affair 2_2015_2833100_971,"¡Gracias, ""companis""!",greetings,0.6691291999816895,Spanish Affair 2,"00:58:13,408","00:58:15,493","Ojo, que mi abuela por parte de madre era de Teruel, ¿eh? | Venga, que pase, que pase. Vinga, Vinga, vinga.",¡Ja sóc aquí! | Gracias. ¡Salut y fortsa al canut!,,True,False,True,3,0,3,"{""fillers_reactions"": [""Vinga"", ""Vinga"", ""vinga""]}",{}
Spanish Affair 2_2015_2833100_970,"Venga, que pase, que pase. Vinga, Vinga, vinga.",farewells,0.6222381782531738,Spanish Affair 2,"00:58:08,695","00:58:11,614","Nene, pero si tú eres lo más catalán que hay en este pueblo. | Ojo, que mi abuela por parte de madre era de Teruel, ¿eh?","¡Gracias, ""companis""! | ¡Ja sóc aquí!",,True,False,True,3,0,3,"{""fillers_reactions"": [""Vinga"", ""Vinga"", ""vinga""]}",{}
Spanish Affair 2_2015_2833100_969,"Ojo, que mi abuela por parte de madre era de Teruel, ¿eh?",family,0.6981480264663696,Spanish Affair 2,"00:58:05,608","00:58:08,486","Andreu. ¿Qué pasa? | Nene, pero si tú eres lo más catalán que hay en este pueblo.","Venga, que pase, que pase. Vinga, Vinga, vinga. | ¡Gracias, ""companis""!",,True,False,True,3,0,3,"{""fillers_reactions"": [""Vinga"", ""Vinga"", ""vinga""]}",{}
To Barcelona with Love_2025_10592564_1160,Pero creo que es hora de tomar un descanso.,opinions,0.8099768304824829,To Barcelona with Love,"00:46:10,392","00:46:12,519",Genial. | Muy bien.,Josep pidió unos bocadillos buenísimos. ¿Sí? | ¿En serio? Sándwiches. Genial.,,False,True,True,0,3,3,{},"{""common_expressions"": [""En serio""], ""cool_reactions"": [""Genial"", ""Genial""]}"
Spanish Affair_2014_976394_378,"Que va a venir la ama, ¿no? Pues lo entiendo, bien hecho.",farewells,0.6101521682739258,Spanish Affair,"00:27:30,691","00:27:33,399","No, bien. Nada, nada. | ¿Nade de qué?",Si yo tampoco quiero mezclar. | Es que va a ser un lío.,,False,True,True,0,3,3,{},"{""common_expressions"": [""Que va"", ""que va""], ""other_common"": [""l\u00edo""]}"
Spanish Affair_2014_977086_1281,¿Adónde vamos a ir?,plans,0.8295938634872436,Spanish Affair,"01:20:06,802","01:20:07,883","Si se tienen que casar otro día, pues otro día u otro año. | Sí, ya vamos, ¿eh? Saliendo estamos.","Pero, ¿tú estás loca, ""mi arma""? Hostia, o como mierda se diga. | Koldo, que lo dejen, que empeñamos en que hay que casarse",,True,True,True,1,2,3,"{""swears_edgy"": [""Hostia""]}","{""swears_expressions"": [""mierda"", ""Hostia""]}"
Barcelona Summer Night_2013_6579113_468,De acuerdo.,farewells,0.779249496459961,Barcelona Summer Night,"00:20:56,960","00:20:57,510",Vale. | Está aquí.,"Yo voy subiendo, ¿vale? | Coge las llaves, por favor. Vale.",,False,True,True,0,3,3,{},"{""common_expressions"": [""Vale"", ""vale"", ""Vale""]}"
Spanish Affair 2_2015_2833100_748,"de ""que me alegro tela"". ¿Sabes?",farewells,0.6026920509338379,Spanish Affair 2,"00:45:22,763","00:45:25,098","Son dos preguntas y sólo una es trampa. | Amaia, coño, esto parece el puto ""Un, dos, tres"". Te quiero, de.","Vale. | Perdona, perdona. Joder, es que se me dan fatal las bodas.",,False,True,True,0,3,3,{},"{""common_expressions"": [""Vale""], ""swears_expressions"": [""Joder"", ""co\u00f1o""]}"
Spanish Affair 2_2015_2833100_711,"Al final. Bueno, falta, pero a ver.",farewells,0.6582589340209961,Spanish Affair 2,"00:43:14,551","00:43:16,845","¡Rima de la hostia! ¿O no? 0 sí, ¿o qué? | ""Jo"" que sí rima, pero vamos. A ver cómo acaba el sainete.","""Agur, agur Sabino, te vas a quedar ""sinmigo"". | Agur, a puerto, remar. Con Merche, me quiero casar"".",,True,True,True,1,2,3,"{""swears_edgy"": [""hostia""]}","{""money_work"": [""quedar""], ""swears_expressions"": [""hostia""]}"
Spanish Affair 2_2015_2833100_710,"""Jo"" que sí rima, pero vamos. A ver cómo acaba el sainete.",farewells,0.6549575996398926,Spanish Affair 2,"00:43:10,172","00:43:14,259","Que no me estoy riendo, Koldo. Que es que me está tocando cosas. | ¡Rima de la hostia! ¿O no? 0 sí, ¿o qué?","Al final. Bueno, falta, pero a ver. | ""Agur, agur Sabino, te vas a quedar ""sinmigo"".",,True,True,True,1,2,3,"{""swears_edgy"": [""hostia""]}","{""money_work"": [""quedar""], ""swears_expressions"": [""hostia""]}"
