id,text,scenario,confidence,source_film,start_timestamp,end_timestamp,context_before,context_after,catalan_markers,has_catalan_slang,catalan_slang_count,catalan_slang_found,generic_spanish_slang_count
Tres dies amb la família_2009_91467_464,"Espera, espera. Qué buenas.",farewells,0.7947064590454103,Tres dies amb la família,"00:55:44,127","00:55:45,958",La recordaba más grande. | ¡Hostia!,Sigue cerrada. ¿Sí? | ¡Qué fuerte!,,True,1,"{""swears_edgy"": [""Hostia""]}",0
Tres dies amb la família_2009_91467_318,"¿Qué tal París? Hostia, ¿sabes que fui con Carla?",greetings,0.7970120334625245,Tres dies amb la família,"00:36:00,167","00:36:03,079","Un momento por favor. | ¿Te acuerdas de Léa, no? Sí, un poco sí.","Fuimos a un bar que no te puedes perder. | ""Les contables"". La polla, increíble.",,True,1,"{""swears_edgy"": [""Hostia""]}",0
Tres dies amb la família_2009_91467_319,Fuimos a un bar que no te puedes perder.,requests,0.8,Tres dies amb la família,"00:36:03,247","00:36:05,397","¿Te acuerdas de Léa, no? Sí, un poco sí. | ¿Qué tal París? Hostia, ¿sabes que fui con Carla?","""Les contables"". La polla, increíble. | No, yo estoy en Toulouse.",,True,1,"{""swears_edgy"": [""Hostia""]}",0
Tres dies amb la família_2009_91467_333,"Hostia, qué guapo. Bueno, una pena que te vayas, pero.",farewells,0.6832783889770508,Tres dies amb la família,"00:36:42,807","00:36:45,958","No sé qué poner, es tanto tiempo que. | ¿A Nicaragua vas? Sí.","¿Y dónde vais? ¿A Managua? | Sí, a Managua justamente. ¿Has estado?",,True,1,"{""swears_edgy"": [""Hostia""]}",0
Barcelona Summer Night_2013_6579113_475,"Anda, toma. Una miqueta. ¿Uh?",farewells,0.7848921966552735,Barcelona Summer Night,"00:21:26,120","00:21:27,570","¿Cómo que va ficatel? | Hostia, Carles, ¿en serio?","Importante, leo aquí. | La línea de control siempre debe aparecer.",,True,1,"{""swears_edgy"": [""Hostia""]}",2
Vicky Cristina Barcelona_2008_4068420_438,"Hola. ¿Llamo en un mal momento, nena?",greetings,0.9008540773391724,Vicky Cristina Barcelona,"00:26:04,638","00:26:07,304",.en ningún lugar de la Tierra. Mi padre lo usó para traerme aquí. | Hola.,"Hola. No, estoy por comer. | ¿Puedo llamarte luego?","lexical:nen, lexical:nena",True,1,"{""address_terms"": [""nena""]}",0
Vicky Cristina Barcelona_2008_4068420_439,"Hola. No, estoy por comer.",greetings,0.8308183813095092,Vicky Cristina Barcelona,"00:26:08,025","00:26:10,020","Hola. | Hola. ¿Llamo en un mal momento, nena?",¿Puedo llamarte luego? | Déjame decir una cosa.,,True,1,"{""address_terms"": [""nena""]}",0
Vicky Cristina Barcelona_2008_4068420_444,¿Sí? Bueno.,farewells,0.6921388816833497,Vicky Cristina Barcelona,"00:26:18,319","00:26:19,762","Paul y Maryanne dijeron que encontraron una casa. | .en donde están, que les gusta incluso más que la de Bedford Hills.",.te estoy perdiendo un poco. | ¿Nena? No. Llámame luego.,,True,1,"{""address_terms"": [""Nena""]}",0
Vicky Cristina Barcelona_2008_4068420_561,"¿Hola? Hola, nena.",greetings,1.0,Vicky Cristina Barcelona,"00:33:42,573","00:33:44,932",También Vicky estaba perdida con sus pensamientos de una noche. | .que ahora parecía más y más irreal.,"¿Te desperté? | No, no, no.","lexical:nen, lexical:nena",True,1,"{""address_terms"": [""nena""]}",0
Barcelona Summer Night_2013_6579113_700,"Es verdad. Venga, va, sopla.",farewells,0.7832068634033204,Barcelona Summer Night,"00:32:41,520","00:32:43,200",Os echo en falta y. | nos vemos demasiado poco.,¡Bravo! | ¡Hostia!,,True,1,"{""swears_edgy"": [""Hostia""]}",0
Vicky Cristina Barcelona_2008_4061345_1353,"Escúchame, mi amor.",greetings,0.6172080230712891,Vicky Cristina Barcelona,"01:30:16,708","01:30:19,581",Dame la pistola. Dámela. | Que me des la pistola. ¡Hostia!,"Mi amor, escúchame. | Ya, ya, mi amor, ya.",,True,1,"{""swears_edgy"": [""Hostia""]}",0
Barcelona Summer Night_2013_6579113_430,"Va, ya voy yo. ¿Vas tú?",farewells,0.6804107856750489,Barcelona Summer Night,"00:19:35,400","00:19:36,650","Hostia, está fuerte con el chaval.","La policía. | Tranquilos, llevo el DNI.",,True,1,"{""swears_edgy"": [""Hostia""]}",0
Vicky Cristina Barcelona_2008_4068420_1413,Éste está bien.,farewells,0.6409083557128907,Vicky Cristina Barcelona,"01:26:27,713","01:26:28,886",".que, en realidad, estás más enamorada de mí que con quien estás casada. | No puedo hablar.","Sí, muy bien, sí. | Oye, nena, ¿qué te parece?",,True,1,"{""address_terms"": [""nena""]}",0
Spanish Affair_2014_976542_1138,vamos a acabar aquí todos emocionados.,plans,0.8,Spanish Affair,"01:08:00,330","01:08:02,415","Las despedidas no me gustan una hostia, así que, mejor callar y. | marchar también tendré que hacer, porque si no,","Buena boda, ¿eh? Disfrutad y. Antxón, | perdona si al principio, pues, oye. pues. Oye, aquí somos así.",,True,1,"{""swears_edgy"": [""hostia""]}",0
Spanish Affair_2014_976542_1184,"Ahora habrá que ir a la ermita y está en ""casa Dios"".",family,0.8,Spanish Affair,"01:10:10,710","01:10:14,214","chuletón de kilo y medio cada uno, a ver si se atraganta el sevillano. | Voy a llamar al puto cura. ¡Hostia! El móvil iba ahí.","Bueno, iremos. Venga, iremos. | La pareja debe ser consciente de la responsabilidad que conlleva",,True,1,"{""swears_edgy"": [""Hostia""]}",0
Spanish Affair_2014_976542_1332,¿Adónde vamos a ir?,plans,0.8295938634872436,Spanish Affair,"01:20:10,101","01:20:11,102","Si se tienen que casar otro día, pues otro día u otro año. | Sí, ya vamos, ¿eh? Saliendo estamos.","Pero, ¿tú estás loca, ""mi arma""? Hostia, o como mierda se diga. | Koldo, que lo dejen, que empeñamos en que hay que casarse",,True,1,"{""swears_edgy"": [""Hostia""]}",0
Spanish Affair_2014_976542_1406,"¡Que ya voy, hostia!",farewells,0.8,Spanish Affair,"01:24:29,110","01:24:30,403",¿aceptas a. a Antxón como tu legítimo esposo? | ¡Amaia!,"Sí, quiero.",,True,1,"{""swears_edgy"": [""hostia""]}",0
Spanish Affair_2014_976542_1423,"¿Qué andas, hostia?",greetings,0.8,Spanish Affair,"01:26:24,017","01:26:26,603",,¡Anne! | ¡Anne!,,True,1,"{""swears_edgy"": [""hostia""]}",0
Evil Dead II_1987_418393_188,Escolta bé,farewells,0.662878818511963,Evil Dead II,"00:43:15,178","00:43:16,471","Ens n'anirem, nena, anirem per aquell caminoi. | Ningú surt d'aquí fins que no es faci de dia.","""Calla, petitona, no diguis res La mare et comprarà un ocellet."" | ""Si l'ocellet no canta La mare et comprarà un anell de diamant.""",,True,1,"{""address_terms"": [""nena""]}",0
Vicky Cristina Barcelona_2008_4065670_1353,"Escúchame, mi amor.",greetings,0.6172080230712891,Vicky Cristina Barcelona,"01:30:44,708","01:30:47,581",Dame la pistola. Dámela. | Que me des la pistola. ¡Hostia!,"Mi amor, escúchame. | Ya, ya, mi amor, ya.",,True,1,"{""swears_edgy"": [""Hostia""]}",0
Vicky Cristina Barcelona_2008_4065670_1354,"Mi amor, escúchame.",greetings,0.602490634918213,Vicky Cristina Barcelona,"01:30:48,426","01:30:53,078","Que me des la pistola. ¡Hostia! | Escúchame, mi amor.","Ya, ya, mi amor, ya. | ¡Dios!",,True,1,"{""swears_edgy"": [""Hostia""]}",0
Barcelona Summer Night_2013_6579113_121,¡Ey! Hostia.,greetings,0.7245878410339356,Barcelona Summer Night,"00:05:48,920","00:05:49,620",,¿Qué haces aquí? Que esta noche voy al Apolo. | Que Ricart pincha.,,True,1,"{""swears_edgy"": [""Hostia""]}",0
Barcelona Summer Night_2013_6579113_122,¿Qué haces aquí? Que esta noche voy al Apolo.,plans,0.8585906171798706,Barcelona Summer Night,"00:05:51,520","00:05:53,870",¡Ey! Hostia.,Que Ricart pincha. | Y había pensado que igual podía venir.,lexical:che,True,1,"{""swears_edgy"": [""Hostia""]}",0
Barcelona Summer Night_2013_6579113_172,Es la fiesta de su hermana.,family,0.6508510971069336,Barcelona Summer Night,"00:07:51,960","00:07:53,310",No iré. | No me han invitado.,"Nadie te invitará. | Hostia, qué casa que tienes, Joan, cabrón.",,True,1,"{""swears_edgy"": [""Hostia""]}",0
Barcelona Summer Night_2013_6579113_174,"Hostia, qué casa que tienes, Joan, cabrón.",family,0.8,Barcelona Summer Night,"00:07:56,280","00:07:58,430",Es la fiesta de su hermana. | Nadie te invitará.,Huele un poco a cerrado eso sí. | Gracias. Encima que os invito.,,True,1,"{""swears_edgy"": [""Hostia""]}",0
Barcelona Summer Night_2013_6579113_176,Gracias. Encima que os invito.,farewells,0.7218794059753418,Barcelona Summer Night,"00:08:00,600","00:08:02,100","Hostia, qué casa que tienes, Joan, cabrón. | Huele un poco a cerrado eso sí.",¿Qué? ¿Preparados para ver el cometa? | Y tanto.,,True,1,"{""swears_edgy"": [""Hostia""]}",0
Barcelona Summer Night_2013_6579113_418,Todo bien.,farewells,0.7549678993225099,Barcelona Summer Night,"00:19:05,960","00:19:06,460","Pues soy yo. | No, no, no, no. Está bien, está bien.","¿Y así qué, Joan, alguna mujer en tu vida? | Hostia, como sea tan alta como la última",,True,1,"{""swears_edgy"": [""Hostia""]}",0
Barcelona Summer Night_2013_6579113_423,"Perdona, ¿eh?",apologies,1.0,Barcelona Summer Night,"00:19:17,520","00:19:18,170","igual está debajo de la mesa. | ¡Hostia, Marta!","Pero bueno, que no has contestao a la pregunta. | ¿Alguna chica en tu vida?",,True,1,"{""swears_edgy"": [""Hostia""]}",0
Vicky Cristina Barcelona_2008_4068420_1209,"No lo sé. Es decir, nena, ¿podrías vivir así?",requests,0.8,Vicky Cristina Barcelona,"01:13:15,266","01:13:17,613","Sabes que María Elena cree que hay. | .muchas verdades en la vida, no sólo una.","Bueno, yo nunca he tenido la. | ¿La falta de estructura de Cristina? De hecho, es muy estructurado.","lexical:nen, lexical:nena",True,1,"{""address_terms"": [""nena""]}",0
Three Many Weddings_2013_965804_798,Buenos días. Buenos días.,greetings,0.8521532440185547,Three Many Weddings,"00:52:29,897","00:52:31,941",Perdona. | ¿Por dónde? Por ahí.,Llego tarde al curro pero ha sido increíble. | Ya.,,True,1,"{""money_work"": [""curro""]}",0
Vicky Cristina Barcelona_2008_4068420_1415,"Oye, nena, ¿qué te parece?",greetings,0.6549555015563966,Vicky Cristina Barcelona,"01:26:32,407","01:26:34,855","Éste está bien. | Sí, muy bien, sí.",¿Quién era? ¿Quién? | Al teléfono.,"lexical:nen, lexical:nena",True,1,"{""address_terms"": [""nena""]}",0
The Ring of a Spanish Grandee_1912_680520_1456,Mi hijo por eso estoy aquí.,family,0.7796904706954956,The Ring of a Spanish Grandee,"02:58:00,500","02:58:02,620",.pero estoy viendo cosas\nen mi cabeza. lmágenes. | Y mi hijo también.,Y de alguna manera no sé cómo pero. | .todo es por esa niña.,,True,1,"{""address_terms"": [""nen""]}",0
Flesh_1932_6127400_472,"Claro que te quiero, nena. Ven aquí.",greetings,0.6118601989746094,Flesh,"00:41:54,989","00:41:56,946","Tú me quieres, ¿no? | ¡Contéstame!",Yo no lo sabía. Ahora es distinto. | Nicky.,"lexical:nen, lexical:nena",True,1,"{""address_terms"": [""nena""]}",0
The Ring of a Spanish Grandee_1912_680520_494,Anna Morgan estaba abrazando a su hija\nen el momento del accidente.,family,0.8,The Ring of a Spanish Grandee,"00:55:41,480","00:55:45,310",Richard Morgan propietario de ranchos | Jinete lastimado en exhibición ecuestre,¿Hija? | Oye tú.,lexical:nen,True,1,"{""address_terms"": [""nen""]}",0
The Ring of a Spanish Grandee_1912_680520_607,Y mi hijo también.,family,0.8434606695175171,The Ring of a Spanish Grandee,"01:10:07,110","01:10:08,270",Mire perdón. No sé cómo decir esto. | .pero estoy viendo cosas\nen mi cabeza. lmágenes.,Mi hijo por eso estoy aquí. | Y de alguna manera no sé cómo pero.,,True,1,"{""address_terms"": [""nen""]}",0
The Ring of a Spanish Grandee_1912_680520_608,Mi hijo por eso estoy aquí.,family,0.7796904706954956,The Ring of a Spanish Grandee,"01:10:09,510","01:10:11,640",.pero estoy viendo cosas\nen mi cabeza. lmágenes. | Y mi hijo también.,Y de alguna manera no sé cómo pero. | .todo es por esa niña.,,True,1,"{""address_terms"": [""nen""]}",0
The Ring of a Spanish Grandee_1912_680520_645,Puede ser. Ud. es el papá de la paciente ¿ verdad?,family,0.681240668296814,The Ring of a Spanish Grandee,"01:12:35,930","01:12:38,520",1978. Caray de veras estamos regresando\nen el tiempo. | Me dijeron que la debe de tener.,Sí Richard Morgan yo soy. | ¿ Cuál es su secreto? Dieta y ejercicio amigo.,,True,1,"{""address_terms"": [""nen""]}",0
The Ring of a Spanish Grandee_1912_680520_1342,Anna Morgan estaba abrazando a su hija\nen el momento del accidente.,family,0.8,The Ring of a Spanish Grandee,"02:43:32,460","02:43:36,300",Richard Morgan propietario de ranchos | Jinete lastimado en exhibición ecuestre,¿Hija? | Oye tú.,lexical:nen,True,1,"{""address_terms"": [""nen""]}",0
The Ring of a Spanish Grandee_1912_680520_1455,Y mi hijo también.,family,0.8434606695175171,The Ring of a Spanish Grandee,"02:57:58,090","02:57:59,250",Mire perdón. No sé cómo decir esto. | .pero estoy viendo cosas\nen mi cabeza. lmágenes.,Mi hijo por eso estoy aquí. | Y de alguna manera no sé cómo pero.,,True,1,"{""address_terms"": [""nen""]}",0
The Ring of a Spanish Grandee_1912_680520_1493,Puede ser. Ud. es el papá de la paciente ¿ verdad?,family,0.681240668296814,The Ring of a Spanish Grandee,"03:00:26,910","03:00:29,500",1978. Caray de veras estamos regresando\nen el tiempo. | Me dijeron que la debe de tener.,Sí Richard Morgan yo soy. | ¿ Cuál es su secreto? Dieta y ejercicio amigo.,,True,1,"{""address_terms"": [""nen""]}",0
Three Many Weddings_2013_965804_229,Es un pueblo de puta madre. ¿Eres de allí? ¿Son familia?,family,0.8,Three Many Weddings,"00:14:12,435","00:14:15,689","¿Otra? | Alex y Sagrario, Villapuebla de Medinaceli.",Compañeros de curro. Yo digo eso. | No hay premio si lo adivinas.,,True,1,"{""money_work"": [""curro""]}",0
Vicky Cristina Barcelona_2008_4066037_438,"Hola. ¿Llamo en un mal momento, nena?",greetings,0.9008540773391724,Vicky Cristina Barcelona,"00:26:01,738","00:26:04,404",.en ningún lugar de la Tierra. Mi padre lo usó para traerme aquí. | Hola.,"Hola. No, estoy por comer. | ¿Puedo llamarte luego?","lexical:nen, lexical:nena",True,1,"{""address_terms"": [""nena""]}",0
Vicky Cristina Barcelona_2008_4066037_439,"Hola. No, estoy por comer.",greetings,0.8308183813095092,Vicky Cristina Barcelona,"00:26:05,125","00:26:07,120","Hola. | Hola. ¿Llamo en un mal momento, nena?",¿Puedo llamarte luego? | Déjame decir una cosa.,,True,1,"{""address_terms"": [""nena""]}",0
Vicky Cristina Barcelona_2008_4066037_444,¿Sí? Bueno.,farewells,0.6921388816833497,Vicky Cristina Barcelona,"00:26:15,419","00:26:16,862","Paul y Maryanne dijeron que encontraron una casa. | .en donde están, que les gusta incluso más que la de Bedford Hills.",.te estoy perdiendo un poco. | ¿Nena? No. Llámame luego.,,True,1,"{""address_terms"": [""Nena""]}",0
Vicky Cristina Barcelona_2008_4066037_561,"¿Hola? Hola, nena.",greetings,1.0,Vicky Cristina Barcelona,"00:33:39,673","00:33:42,032",También Vicky estaba perdida con sus pensamientos de una noche. | .que ahora parecía más y más irreal.,"¿Te desperté? | No, no, no.","lexical:nen, lexical:nena",True,1,"{""address_terms"": [""nena""]}",0
Vicky Cristina Barcelona_2008_4066037_1209,"No lo sé. Es decir, nena, ¿podrías vivir así?",requests,0.8,Vicky Cristina Barcelona,"01:13:12,366","01:13:14,713","Sabes que María Elena cree que hay. | .muchas verdades en la vida, no sólo una.","Bueno, yo nunca he tenido la. | ¿La falta de estructura de Cristina? De hecho, es muy estructurado.","lexical:nen, lexical:nena",True,1,"{""address_terms"": [""nena""]}",0
Vicky Cristina Barcelona_2008_4066037_1413,Éste está bien.,farewells,0.6409083557128907,Vicky Cristina Barcelona,"01:26:24,813","01:26:25,986",".que, en realidad, estás más enamorada de mí que con quien estás casada. | No puedo hablar.","Sí, muy bien, sí. | Oye, nena, ¿qué te parece?",,True,1,"{""address_terms"": [""nena""]}",0
Vicky Cristina Barcelona_2008_4066037_1415,"Oye, nena, ¿qué te parece?",greetings,0.6549555015563966,Vicky Cristina Barcelona,"01:26:29,507","01:26:31,955","Éste está bien. | Sí, muy bien, sí.",¿Quién era? ¿Quién? | Al teléfono.,"lexical:nen, lexical:nena",True,1,"{""address_terms"": [""nena""]}",0
Flesh_1932_6127400_471,¡Contéstame!,greetings,0.6892051887512207,Flesh,"00:41:49,149","00:41:50,478","vamos a irnos de aquí, ¿verdad? No lo decías en serio, ¿no? | Tú me quieres, ¿no?","Claro que te quiero, nena. Ven aquí. | Yo no lo sabía. Ahora es distinto.",,True,1,"{""address_terms"": [""nena""]}",1
Flesh_1932_6127400_470,"Tú me quieres, ¿no?",plans,0.8,Flesh,"00:41:45,728","00:41:47,768","Nicky, ahora que lo sabes. | vamos a irnos de aquí, ¿verdad? No lo decías en serio, ¿no?","¡Contéstame! | Claro que te quiero, nena. Ven aquí.",,True,1,"{""address_terms"": [""nena""]}",1
Spanish Affair_2014_976394_1423,"¿Qué andas, hostia?",greetings,0.8,Spanish Affair,"01:26:20,759","01:26:23,308",,¡Anne! | ¡Anne!,,True,1,"{""swears_edgy"": [""hostia""]}",0
Spanish Affair_2014_976394_1406,"¡Que ya voy, hostia!",farewells,0.8,Spanish Affair,"01:24:25,853","01:24:27,139",¿aceptas a. a Antxón como tu legítimo esposo? | ¡Amaia!,"Sí, quiero.",,True,1,"{""swears_edgy"": [""hostia""]}",0
Spanish Affair_2014_976542_1112,"Yo voy a dormir un poco. Es que mañana quiero salir pronto,",plans,0.901521339416504,Spanish Affair,"01:06:18,311","01:06:22,107",¡Chin-chin! | ¡Chin-chin!,porque se juntan en el puerto la hostia de. | txalupas con arrantzales que vienen de hacer el txipirón.,,True,1,"{""swears_edgy"": [""hostia""]}",0
Spanish Affair_2014_976394_28,No puedes estar así con todo el mundo por culpa de Antxón.,requests,0.8,Spanish Affair,"00:03:38,802","00:03:41,385",porque me están entrando unas ganas de soltarte una hostia. | ¿Qué?,"Shh. Hemos dicho que no íbamos a hablar de él. | Qué maravilla de mujeres, Joaquín. ¿Esas tres, Currito? Ni se te ocurra.",,True,1,"{""swears_edgy"": [""hostia""]}",0
Spanish Affair_2014_976394_340,"Pero, bien, bien, se ha portado bien. ¿Aquí qué? ¿Txirimiri?",farewells,0.6635969352722169,Spanish Affair,"00:25:41,040","00:25:46,217","Aúpa. | ¡Largo viaje, la hostia! Le he metido leña al ""Sabino"", ¿eh?","Toda la semana lloviendo, sí. | ¿Sí?",,True,1,"{""swears_edgy"": [""hostia""]}",0
Spanish Affair_2014_976394_471,"¿Qué pasa, Koldo? ¿Cómo estás? ¡Aúpa ahí!",greetings,1.0,Spanish Affair,"00:32:10,762","00:32:13,800","Hoy vas a ver que con Antxón, todo genial. | ""Epa"".","¡Aúpa! Igual hoy te venía fatal quedar. | No, de jugar a pelota vengo, hostia.",,True,1,"{""swears_edgy"": [""hostia""]}",1
Spanish Affair_2014_976394_515,"Escúchame, ¿parezco ""aberchándal""?",greetings,0.613966007232666,Spanish Affair,"00:34:06,461","00:34:08,168",Y deja de hacerla pelota con tanto abrazo y tanta hostia. | Que no estás en Sevilla.,"Abertzale. | SÍ, ¿no?",,True,1,"{""swears_edgy"": [""hostia""]}",0
Spanish Affair_2014_976394_828,¡Aúpa! Aúpa ahí.,farewells,0.6310929489135743,Spanish Affair,"00:50:50,297","00:50:51,913","¡Venga! | Oso ondo, agur. Eskerrik asko.","Aúpa. ¡Pon ahí, tres txikitos! Crianza, ¿eh? Que paga el yerno. | ¡Hostia, mira quién ha venido! ¡Ugaitz!",,True,1,"{""swears_edgy"": [""Hostia""]}",0
Spanish Affair_2014_976394_848,"Ya verás, ya. ¡Venga!",farewells,0.8,Spanish Affair,"00:51:48,397","00:51:50,525","Lo de ir un paso más allá. Porque tú estás seguro, ¿no? | Hombre, un pasito. Tampoco.","¡Hostia! ¡En euskera, venga!",,True,1,"{""swears_edgy"": [""Hostia""]}",0
Spanish Affair_2014_976394_851,"Que sí, que bai, que. yo las digo en euskera encantado.",greetings,0.825145115852356,Spanish Affair,"00:51:57,573","00:52:00,543","¡Hostia! ¡En euskera, venga!","Lo que pasa que yo soy más de pensar en euskera, | y traducir al español para hablar. al ""estatal"", como yo le llamo.",,True,1,"{""swears_edgy"": [""Hostia""]}",0
Spanish Affair_2014_976394_886,"¡Ixo, ¡xo! ¡Ixo, hostia! Va.",farewells,0.725020046234131,Spanish Affair,"00:54:11,832","00:54:14,665","""Tranqui"", que aquí nunca ha pasado nada. | ¡Independentzia! ¡Bide bakarra da!","Venga, coge el megáfono, que queremos escucharte. | Que no. A ver, yo decía cuatro cosas muy borrokas,",,True,1,"{""swears_edgy"": [""hostia""]}",0
Spanish Affair_2014_976394_954,Buenísimo.,farewells,0.7188610267639161,Spanish Affair,"00:57:43,794","00:57:45,535",¿Qué? ¿Cómo estaba el bonito? | Más fresco no vais a encontrar.,"De la hostia estaba el bonito, ¿eh, Koldo? | Mira, Antxón, una cosa te voy a decir.",,True,1,"{""swears_edgy"": [""hostia""]}",0
Spanish Affair_2014_976394_1112,"Yo voy a dormir un poco. Es que mañana quiero salir pronto,",plans,0.901521339416504,Spanish Affair,"01:06:15,055","01:06:18,844",¡Chin-chin! | ¡Chin-chin!,porque se juntan en el puerto la hostia de. | txalupas con arrantzales que vienen de hacer el txipirón.,,True,1,"{""swears_edgy"": [""hostia""]}",0
